sourceIri,relation,targetIri
proc:1f879378-f579-4d3f-91f3-ff55742d197f_action_remove,proc:hasPrimaryParticipant,proc:1f879378-f579-4d3f-91f3-ff55742d197f_Item_four_screw
proc:d58074fb-894d-4e07-a19c-acd972e10a93_action_remove,proc:hasPrimaryParticipant,proc:d58074fb-894d-4e07-a19c-acd972e10a93_Item_rubber_gasket
proc:40e15f95-7e19-4d48-b97a-9aa87efb98c4_action_remove,proc:hasPrimaryParticipant,proc:40e15f95-7e19-4d48-b97a-9aa87efb98c4_Item_cap
proc:417befa5-6ed2-40dc-995c-0eeccfa09cb4_action_release,proc:hasPrimaryParticipant,proc:417befa5-6ed2-40dc-995c-0eeccfa09cb4_Item_passenger-side_windshield_wiper_locking_nut
proc:aa51034e-8590-43e2-b4ff-59bb1e992f00_action_gently_lift_up,proc:hasPrimaryParticipant,proc:aa51034e-8590-43e2-b4ff-59bb1e992f00_Item_passenger-side_windshield_wiper
proc:c4a9692c-ad9f-42b7-bbfa-cfe31e7208e1_action_lift_up,proc:hasPrimaryParticipant,proc:c4a9692c-ad9f-42b7-bbfa-cfe31e7208e1_Item_plastic_cover
proc:b166539f-893e-4928-9b32-771527bee859_action_remove,proc:hasPrimaryParticipant,proc:b166539f-893e-4928-9b32-771527bee859_Item_screw
proc:0bc89634-9e6b-4c89-bb16-bc507445516f_action_remove,proc:hasPrimaryParticipant,proc:0bc89634-9e6b-4c89-bb16-bc507445516f_Item_front_two_screw
proc:551b6c20-2644-42e8-954e-47953f47f887_action_unplug,proc:hasPrimaryParticipant,proc:551b6c20-2644-42e8-954e-47953f47f887_Item_automatic_transmission_control_unit
proc:551b6c20-2644-42e8-954e-47953f47f887_action_lift_out,proc:hasPrimaryParticipant,proc:551b6c20-2644-42e8-954e-47953f47f887_Item_automatic_transmission_control_unit
proc:c79b036e-e37f-4868-8a6b-5a46720d2320_action_remove,proc:hasPrimaryParticipant,proc:c79b036e-e37f-4868-8a6b-5a46720d2320_Item_plastic_phillips_screw
proc:c79b036e-e37f-4868-8a6b-5a46720d2320_action_apply_force,proc:hasPrimaryParticipant,proc:c79b036e-e37f-4868-8a6b-5a46720d2320_Item_screw_head
