sourceIri,relation,targetIri
proc:c79b036e-e37f-4868-8a6b-5a46720d2320_action_screw,proc:hasPrimaryParticipant,proc:c79b036e-e37f-4868-8a6b-5a46720d2320_Item_plastic_clip
proc:c79b036e-e37f-4868-8a6b-5a46720d2320_action_remove,proc:hasPrimaryParticipant,proc:c79b036e-e37f-4868-8a6b-5a46720d2320_Item_plastic_clip
proc:1417f29c-d979-4ed9-bd50-069cbba26768_action_unscrew,proc:hasPrimaryParticipant,proc:1417f29c-d979-4ed9-bd50-069cbba26768_Item_phillips_screw
proc:1417f29c-d979-4ed9-bd50-069cbba26768_action_lift,proc:hasPrimaryParticipant,proc:1417f29c-d979-4ed9-bd50-069cbba26768_Item_cup
proc:83575832-a76c-4230-add5-7c81559ec759_action_unscrew,proc:hasPrimaryParticipant,proc:83575832-a76c-4230-add5-7c81559ec759_Item_phillips_screw
proc:c262a435-8c87-4894-91c4-a18e6584c854_action_remove,proc:hasPrimaryParticipant,proc:c262a435-8c87-4894-91c4-a18e6584c854_Item_plastic_cover
proc:c262a435-8c87-4894-91c4-a18e6584c854_action_pulling,proc:hasPrimaryParticipant,proc:c262a435-8c87-4894-91c4-a18e6584c854_Item_plastic_cover
proc:c262a435-8c87-4894-91c4-a18e6584c854_action_force,proc:hasPrimaryParticipant,proc:c262a435-8c87-4894-91c4-a18e6584c854_Item_cover
proc:c262a435-8c87-4894-91c4-a18e6584c854_action_free,proc:hasPrimaryParticipant,proc:c262a435-8c87-4894-91c4-a18e6584c854_Item_cover
proc:aba7429b-b888-4bfa-99a7-eb11fe4541d6_action_using_firm_pressure,proc:hasPrimaryParticipant,proc:aba7429b-b888-4bfa-99a7-eb11fe4541d6_Item_door_panel
proc:aba7429b-b888-4bfa-99a7-eb11fe4541d6_action_pull,proc:hasPrimaryParticipant,proc:aba7429b-b888-4bfa-99a7-eb11fe4541d6_Item_door_panel
proc:aba7429b-b888-4bfa-99a7-eb11fe4541d6_action_work_down_the_side,proc:hasPrimaryParticipant,proc:aba7429b-b888-4bfa-99a7-eb11fe4541d6_Item_door_panel
proc:aba7429b-b888-4bfa-99a7-eb11fe4541d6_action_hold,proc:hasPrimaryParticipant,proc:aba7429b-b888-4bfa-99a7-eb11fe4541d6_Item_door_panel
proc:c4012ad9-12eb-4d25-a7a1-a33cf48505c9_action_pull,proc:hasPrimaryParticipant,proc:c4012ad9-12eb-4d25-a7a1-a33cf48505c9_Item_bottom_of_the_door_panel
proc:c4012ad9-12eb-4d25-a7a1-a33cf48505c9_action_lift,proc:hasPrimaryParticipant,proc:c4012ad9-12eb-4d25-a7a1-a33cf48505c9_Item_entire_panel
proc:c4012ad9-12eb-4d25-a7a1-a33cf48505c9_action_remove,proc:hasPrimaryParticipant,proc:c4012ad9-12eb-4d25-a7a1-a33cf48505c9_Item_door_panel
proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_action_push_down,proc:hasPrimaryParticipant,proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_Item_small_tab
proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_action_pull,proc:hasPrimaryParticipant,proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_Item_connector
proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_action_disconnect,proc:hasPrimaryParticipant,proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_Item_power_lock_switch
proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_action_remove,proc:hasPrimaryParticipant,proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_Item_connector
proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_action_press_the_tab,proc:hasPrimaryParticipant,proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_Item_larger_green_connector
proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_action_disconnect,proc:hasPrimaryParticipant,proc:aa84dfd9-8355-4b07-b450-4adde537b7e1_Item_side-view_mirror_control
proc:f8405ca9-654c-474c-a389-ef77160de59d_action_disconnect,proc:hasPrimaryParticipant,proc:f8405ca9-654c-474c-a389-ef77160de59d_Item_power_window_connector
proc:2344b144-bd67-4058-a502-956b56cbf5d2_action_remove,proc:hasPrimaryParticipant,proc:2344b144-bd67-4058-a502-956b56cbf5d2_Item_ignition_coil_electrical_connector
proc:2344b144-bd67-4058-a502-956b56cbf5d2_action_depressing,proc:hasPrimaryParticipant,proc:2344b144-bd67-4058-a502-956b56cbf5d2_Item_plastic_tab
proc:2344b144-bd67-4058-a502-956b56cbf5d2_action_pull_the_connector,proc:hasPrimaryParticipant,proc:2344b144-bd67-4058-a502-956b56cbf5d2_Item_ignition_coil
proc:2344b144-bd67-4058-a502-956b56cbf5d2_action_detach,proc:hasPrimaryParticipant,proc:2344b144-bd67-4058-a502-956b56cbf5d2_Item_ignition_coil
proc:2344b144-bd67-4058-a502-956b56cbf5d2_action_repeat_procedure,proc:hasPrimaryParticipant,proc:2344b144-bd67-4058-a502-956b56cbf5d2_Item_ignition_coil
proc:0f39e4aa-cb7c-4d66-bf8a-3c3f72334501_action_loosen,proc:hasPrimaryParticipant,proc:0f39e4aa-cb7c-4d66-bf8a-3c3f72334501_Item_mounting_bolt
proc:0f39e4aa-cb7c-4d66-bf8a-3c3f72334501_action_loosen,proc:hasPrimaryParticipant,proc:0f39e4aa-cb7c-4d66-bf8a-3c3f72334501_Item_ignition_coil
proc:0f39e4aa-cb7c-4d66-bf8a-3c3f72334501_action_removed,proc:hasPrimaryParticipant,proc:0f39e4aa-cb7c-4d66-bf8a-3c3f72334501_Item_bolt
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_twist,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_ignition_coil
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_twist,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_spark_plug_boot
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_lifting,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_engine
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_remove,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_engine
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_avoid_rocking,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_coil
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_break,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_existing_spark_plug
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_remove,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_ignition_coil
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_remove,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_spark_plug_boot
proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_action_reduce,proc:hasPrimaryParticipant,proc:f6f63e04-b2f6-4945-9d12-0fc8744855ea_Item_engine
proc:70ba809a-c44b-49b3-b5b2-021ae9798a57_action_remove,proc:hasPrimaryParticipant,proc:70ba809a-c44b-49b3-b5b2-021ae9798a57_Item_existing_spark_plug
proc:5556e9a1-6a19-4f97-8036-8c5782d9e457_action_apply,proc:hasPrimaryParticipant,proc:5556e9a1-6a19-4f97-8036-8c5782d9e457_Item_dielectric_grease
proc:5556e9a1-6a19-4f97-8036-8c5782d9e457_action_gently_place,proc:hasPrimaryParticipant,proc:5556e9a1-6a19-4f97-8036-8c5782d9e457_Item_spark_plug_boot
proc:5556e9a1-6a19-4f97-8036-8c5782d9e457_action_twist,proc:hasPrimaryParticipant,proc:5556e9a1-6a19-4f97-8036-8c5782d9e457_Item_two_piece
proc:1c2c0938-4009-4f5e-9073-fe1887618018_action_apply,proc:hasPrimaryParticipant,proc:1c2c0938-4009-4f5e-9073-fe1887618018_Item_anti-seize_compound
proc:1c2c0938-4009-4f5e-9073-fe1887618018_action_apply,proc:hasPrimaryParticipant,proc:1c2c0938-4009-4f5e-9073-fe1887618018_Item_thread
proc:1c2c0938-4009-4f5e-9073-fe1887618018_action_apply,proc:hasPrimaryParticipant,proc:1c2c0938-4009-4f5e-9073-fe1887618018_Item_spark_plug
proc:e8e8f866-bba2-4e9d-a672-3dbc5789c9d8_action_tighten,proc:hasPrimaryParticipant,proc:e8e8f866-bba2-4e9d-a672-3dbc5789c9d8_Item_new_spark_plug
proc:94990899-b475-4992-a6a4-1e22a20b7baa_action_place,proc:hasPrimaryParticipant,proc:94990899-b475-4992-a6a4-1e22a20b7baa_Item_ignition_coil
proc:94990899-b475-4992-a6a4-1e22a20b7baa_action_pushing_down,proc:hasPrimaryParticipant,proc:94990899-b475-4992-a6a4-1e22a20b7baa_Item_ignition_coil
proc:94990899-b475-4992-a6a4-1e22a20b7baa_action_twisting,proc:hasPrimaryParticipant,proc:94990899-b475-4992-a6a4-1e22a20b7baa_Item_ignition_coil
proc:94990899-b475-4992-a6a4-1e22a20b7baa_action_reconnect_the_ignition_coil_electrical_connector,proc:hasPrimaryParticipant,proc:94990899-b475-4992-a6a4-1e22a20b7baa_Item_ignition_coil
proc:94990899-b475-4992-a6a4-1e22a20b7baa_action_snapping_it_back_into_place,proc:hasPrimaryParticipant,proc:94990899-b475-4992-a6a4-1e22a20b7baa_Item_ignition_coil
